latout,lonout
-36.3573,146.8146
-37.907,146.0795
-37.9177,146.0889
-37.9087,146.0909
-37.9161,146.0775
-37.882,146.1546
-37.9173,146.0831
-37.8952,146.1427
-37.8924,146.1576
-37.8849,146.1393
-37.9427,146.3318
-37.9397,146.3476
-37.9132,146.1643
-37.9161,146.1488
-36.1961,146.0336
-36.1853,146.0305
-36.1847,146.0247
-36.1954,146.0278
-36.0499,145.7927
-36.0553,145.8003
-38.1936,143.0591
-38.0579,143.1821
-38.0537,143.7489
-38.0553,143.7374
-37.8049,142.8675
-37.8372,142.7645
-38.0143,143.4369
-37.845,142.5569
-37.8511,142.434
-37.7278,142.7603
-37.9697,143.3609
-37.8435,142.569
-37.9449,143.4749
-37.9101,143.1262
-37.9682,143.3725
-37.7293,142.7485
-37.5104,143.557
-37.9666,143.3841
-38.0096,142.6274
-38.0128,143.4485
-37.4863,147.3021
-37.8526,142.4218
-37.512,143.5455
-37.6523,143.191
-37.1446,147.4265
-36.1126,146.1732
-36.1975,144.7614
-36.1106,146.1852
-36.2268,147.4945
-36.4261,141.4713
-36.8509,146.1817
-36.6618,141.6229
-36.5053,147.4363
-36.2066,144.7635
-36.9208,141.1513
-36.9223,141.1382
-36.1985,141.7543
-36.4015,148.0298
-37.2347,143.1353
-37.1728,141.0885
-37.2364,143.151
-37.2454,143.1335
-37.5692,145.5307
-37.65,145.6822
-37.5673,145.5811
-37.5654,145.5741
-37.911,145.862
-37.634,145.6855
-37.5676,145.5236
-37.9061,145.8968
-37.6327,145.6813
-37.9093,145.9047
-35.9244,145.6239
-37.6741,142.926
-37.7121,143.1638
-37.6917,143.252
-37.9156,145.9006
-36.8968,141.6611
-37.2814,143.9326
-37.375,142.9139
-37.3777,142.9195
-37.5521,143.1951
-37.6617,143.1089
-36.9016,141.6577
-37.556,143.2203
-37.8193,142.9536
-37.8107,142.9585
-37.5857,142.6429
-38.0094,143.427
-37.7395,143.1743
-37.7062,142.7856
-37.9119,145.893
-36.9704,142.5888
-37.7599,142.4426
-37.9233,145.8486
-37.0742,141.5974
-37.6709,143.3411
-37.6676,142.9544
-37.7189,143.1347
-36.9107,142.7834
-37.9269,145.8573
-36.9068,142.7744
-37.7565,142.7185
-37.8242,142.9635
-37.6985,143.1586
-37.5883,142.6692
-37.2528,143.1224
-38.1034,143.6456
-38.1167,143.6462
-38.2116,144.0436
-38.2128,144.0393
-38.0398,142.8441
-38.0679,142.5535
-38.0739,142.527
-35.9236,145.6187
-37.5019,146.1247
-36.8489,146.1751
-36.8404,146.1568
-36.8507,146.1592
-36.7636,145.4154
-36.4545,145.6698
-37.719,145.9406
-36.3234,145.9672
-36.8046,145.1351
-36.1866,147.5109
-37.7266,145.9545
-37.5113,146.1261
-36.8536,146.1687
-37.6777,145.8401
-37.725,145.9665
-36.8091,145.0988
-37.4741,146.1358
-36.8061,145.123
-37.5022,146.1242
-37.6885,145.8299
-37.6762,145.8517
-37.5097,146.138
-36.7077,145.2579
-36.8476,146.1616
-36.325,145.9558
-37.1481,148.9452
-36.1522,146.1343
-36.1951,145.887
-36.16,146.0081
-36.1507,146.1456
-36.2331,145.4578
-35.9089,143.194
-36.2531,145.5927
-36.3956,145.2809
-36.2346,145.4461
-36.1875,145.8737
-36.2516,145.6043
-36.1647,146.4489
-36.1416,145.3143
-35.5485,143.6759
-36.2869,146.0296
-36.1859,145.8851
-35.5501,143.6628
-36.1401,145.326
-36.1631,146.46
-36.069,145.9371
-36.1009,145.9087
-36.1351,147.7308
-37.4971,146.129
-37.4689,146.1377
-37.4877,146.1318
-36.1454,147.7425
-36.1514,147.7522
-36.2756,146.1118
-36.2817,143.8433
-36.1395,146.1918
-36.6784,144.7125
-36.3474,145.7572
-36.6183,144.9083
-36.5952,145.4496
-37.1047,148.7343
-37.1064,148.7181
-37.0942,148.7324
-37.0958,148.7163
-37.101,148.7281
-37.3523,145.8352
-36.0212,146.5977
-37.3551,145.8065
-36.8447,146.6227
-37.3847,145.913
-37.354,145.8122
-36.6533,147.0784
-37.8686,146.4647
-37.353,145.8314
-37.6246,146.1185
-37.6226,146.142
-37.6259,146.1261
-37.4101,145.9162
-36.0502,146.1403
-37.8665,146.4593
-36.0092,146.5961
-37.3727,145.9115
-37.3712,145.9227
-37.8746,146.4665
-37.2282,148.727
-37.4942,142.9799
-36.8173,147.7214
-37.3415,142.9556
-37.2319,148.7081
-37.3432,142.9443
-37.2319,147.1176
-37.1926,148.9571
-37.2421,147.1205
-37.2187,147.1307
-36.3731,145.6205
-37.4525,147.1033
-36.1688,146.195
-37.5032,142.982
-37.1847,148.9479
-37.2523,147.1238
-37.2289,147.1339
-37.2391,147.1372
-37.2493,147.1405
-37.181,148.9669
-37.3447,145.8365
-37.1961,148.9512
-37.1244,148.8283
-37.1282,148.8094
-37.125,148.8436
-37.1288,148.824
-37.124,148.7272
-37.3327,147.5377
-37.3307,147.5664
-37.5587,148.8009
-37.3384,147.5443
-36.8424,146.8366
-36.8441,146.8097
-36.7069,146.862
-36.6757,146.6127
-37.8158,143.7786
-37.1905,148.8223
-37.1927,148.8092
-38.5501,146.5395
-38.5394,146.5488
-38.5411,146.5373
-38.5304,146.5466
-38.5321,146.5351
-38.5214,146.5444
-38.5231,146.5329
-38.0351,143.7964
-36.1257,147.8208
-36.1278,147.8081
-36.1737,146.4724
-35.3629,143.1387
-36.1079,146.1704
-36.1629,146.4816
-36.3792,145.7713
-36.9923,143.5459
-36.2017,143.8813
-36.0569,145.8991
-36.2083,143.8761
-36.639,141.2614
-36.1646,146.4703
-36.6418,145.6766
-36.7291,146.8721
-36.2241,147.6617
-36.0519,145.9325
-36.0552,145.9102
-36.0642,145.9123
-36.1083,147.5694
-36.8514,147.5499
-36.9304,146.8459
-36.853,147.5611
-36.8604,147.5479
-37.136,141.1228
-37.1344,141.1113
-37.6127,143.328
-36.1062,145.9636
-36.595,144.5694
-36.1147,145.9753
-36.0572,145.8224
-36.1241,145.9378
-36.0649,145.8211
-36.2554,147.9854
-37.1447,148.7232
-37.2354,141.3394
-36.6754,146.61
-36.8481,143.5231
-37.1537,148.7253
-37.4153,145.8601
-36.2119,146.309
-37.2344,141.3324
-36.6426,145.2597
-36.6847,146.6118
-37.9359,141.1061
-37.4046,145.8524
-37.2372,141.3167
-36.505,146.7358
-36.8443,143.5326
-37.4056,145.858
-37.403,145.8654
-36.2213,146.3108
-36.6967,146.3956
-36.641,145.2732
-36.0033,141.4147
-38.1563,141.9915
-38.1545,141.9799
-37.1434,143.3534
-38.1528,141.9684
-38.1722,143.9706
-37.879,143.1238
-37.8275,143.707
-37.8233,143.7167
-37.4962,142.0545
-37.1342,143.3627
-37.747,142.7749
-37.5136,142.5913
-37.8084,142.224
-37.7592,142.8271
-37.1387,143.3538
-37.755,143.2328
-37.7499,142.7596
-37.8895,143.127
-36.3905,141.3736
-37.1439,143.6836
-36.8178,143.3226
-37.1356,143.37
-37.1482,143.3489
-36.3888,141.3807
-37.1496,143.3565
-37.433,141.6566
-36.7404,141.4943
-37.7563,142.8426
-36.3445,145.7787
-37.1128,143.3556
-37.7408,142.0773
-36.7388,141.5012
-36.89,141.9902
-37.321,143.905
-37.1235,143.3594
-37.7383,142.0915
-37.1363,143.6626
-37.3512,143.575
-36.8383,143.4557
-36.3911,141.367
-36.8372,143.4607
-38.014,143.1609
-37.1397,143.6453
-37.7602,142.7627
-37.882,143.108
-36.9775,143.1466
-38.0219,143.1578
-37.4306,141.6703
-37.1473,143.6662
-38.1755,141.9542
-37.8265,143.6999
-36.4018,145.5857
-37.1781,148.9247
-37.1754,148.9319
-36.5089,145.5288
-36.5205,145.5305
-36.302,145.6777
-37.4906,141.9959
-37.9376,141.1069
-37.9364,141.1203
-38.5253,146.5454
-38.5168,146.568
-38.5188,146.5405
-38.5058,146.5513
-38.5078,146.5634
-38.5151,146.5486
-38.5171,146.5608
-38.1013,143.0903
-38.1028,143.0785
-38.0921,143.0883
-38.0937,143.0765
-38.067,143.3476
-37.7828,147.8944
-38.0225,143.7425
-38.0241,143.731
-37.8683,143.7314
-37.8322,143.1104
-37.7841,143.3985
-37.7948,143.3889
-37.8724,141.4991
-37.7857,143.387
-37.289,143.9285
-36.3837,141.1289
-37.6599,142.6936
-38.1704,141.9747
-38.172,141.962
-36.2529,144.8899
-37.7846,142.7074
-37.665,142.7001
-37.7545,143.2198
-37.7561,143.2082
-37.4919,142.0538
-37.7861,142.6955
-37.3872,143.547
-36.1453,146.0578
-37.9009,143.2875
-36.1472,146.0458
-37.8259,142.8257
-37.5303,143.5851
-36.8863,147.8861
-37.8754,141.5143
-37.8624,141.4956
-37.8738,141.5006
-37.8738,141.5073
-37.864,141.5092
-38.5362,143.2245
