latout,lonout
-37.8048,145.8055
-37.6437,146.1984
-37.6543,146.1962
-37.8065,145.821
-37.6527,146.1807
-37.6419,146.1812
-37.6518,146.1775
-37.8637,145.8857
-37.87,145.8809
-38.0345,143.9245
-38.0376,143.931
-38.0419,143.9104
-38.5096,146.6279
-37.2054,148.9824
-36.6168,146.8187
-37.1828,148.7396
-37.1921,148.7415
-36.014,147.4604
-36.6031,147.719
-36.5062,147.0754
-36.4947,147.088
-36.5165,147.4931
-37.8576,146.2204
-37.1905,148.7536
-37.7831,147.0684
-36.0109,147.4862
-36.0124,147.4736
-36.4941,147.0806
-36.6349,147.6985
-36.8873,147.0201
-36.6153,146.8242
-37.1977,148.969
-37.1962,148.9807
-37.6179,145.7099
-36.0014,147.4842
-37.2069,148.9708
-37.8999,146.2825
-37.8594,146.2043
-37.83,145.9744
-37.8407,145.976
-36.0205,147.4881
-37.1472,148.8669
-37.1457,148.8787
-36.6593,147.8187
-36.7585,146.1626
-36.459,147.0927
-36.4564,147.1068
-36.6143,146.8069
-36.7975,146.1775
-36.7877,146.1749
-36.8072,146.1803
-37.0694,146.7983
-36.6119,146.8201
-36.6218,146.8241
-36.5129,147.4837
-36.7997,146.1648
-36.2348,147.4378
-36.5138,147.4997
-36.5636,147.6416
-36.24,147.4267
-36.2416,147.4394
-36.6544,147.8063
-36.6138,146.8042
-37.2005,145.1658
-36.8003,146.1432
-36.8101,146.1455
-36.798,146.1562
-36.8198,146.1483
-36.8221,146.1354
-36.7562,146.1628
-36.7824,146.1638
-36.8141,146.1539
-36.8029,146.1477
-37.2433,148.0631
-36.5815,147.6628
-37.2455,148.0333
-37.082,148.6735
-36.923,148.2083
-36.9249,148.1821
-36.9062,148.2531
-36.908,148.2285
-36.9279,148.203
-36.9108,148.2491
-36.9128,148.2242
-36.9147,148.1989
-37.1306,147.9046
-36.9072,148.2281
-36.4325,147.0981
-36.4402,147.112
-36.8252,146.1407
-36.5139,147.4677
-36.4495,147.114
-36.7526,146.1473
-36.7815,146.1521
-36.9343,148.275
-36.9228,148.2851
-36.925,148.2723
-36.6065,147.7428
-36.5972,147.7408
-36.9459,148.2637
-36.9365,148.2615
-36.9386,148.249
-36.927,148.2598
-36.9291,148.2472
-36.9198,148.2444
-36.6462,147.8347
-37.6388,146.1774
-36.5844,147.7008
-37.6478,146.1795
-37.7146,148.3264
-36.5863,147.689
-36.446,147.109
-36.5197,147.4716
-36.4513,147.075
-37.8434,147.1502
-36.4552,147.1109
-36.5991,147.729
-37.8724,145.9622
-37.8451,147.1386
-36.4496,147.0862
-36.0047,147.4657
-36.0029,147.4772
-36.5642,147.6695
-37.9105,143.4589
-35.5424,143.2577
-37.9005,143.4606
-37.8886,143.4904
-37.8916,143.4865
-37.8938,143.4665
-37.6612,144.2819
-37.4947,145.5509
-36.7984,142.7236
