latout,lonout
-37.2516,145.5991
-37.7428,147.2128
-37.7407,147.2255
-36.5053,144.9299
-36.0521,145.0611
-38.3285,146.8874
-38.3355,146.8956
-36.6337,147.7443
-36.6353,147.7311
-36.6685,147.6991
-36.1251,145.954
-36.1875,145.695
-36.1768,145.7047
-36.1236,145.9654
-36.207,146.0235
-36.2013,145.9461
-36.3323,145.7182
-36.6702,147.7077
-37.9655,147.3313
-36.1343,145.9559
-36.6284,147.6752
-36.6866,147.723
-36.1783,145.6932
-36.2029,145.9347
-36.649,144.8663
-37.6377,148.2009
-37.1,145.2237
-36.0649,146.603
-37.3542,148.1269
-36.2105,145.948
-36.4492,145.6463
-36.186,145.7066
-36.6882,147.7118
-37.0905,145.2221
-36.6301,147.6639
-36.212,145.9366
-36.1069,146.1606
-36.116,146.1625
-36.1328,145.9673
-36.3384,145.7262
-36.6927,143.1767
-36.7271,144.5463
-36.3525,144.2946
-37.8931,142.556
-37.8947,142.5615
-36.7286,144.5335
-36.1542,147.9521
-36.1559,147.9409
-36.6382,147.7351
-36.6759,147.7321
-36.0529,145.874
-36.2516,144.772
-36.1304,145.4258
-36.4417,141.8897
-35.4723,143.7493
-35.4707,143.7625
-37.4958,143.1226
-37.7773,143.1714
-37.8629,142.9221
-37.4001,143.3102
-37.8665,142.9038
-37.9112,143.4327
-36.4702,142.1802
-38.2551,143.8563
-38.2508,143.8767
-38.2573,143.8715
-38.4395,143.1935
-38.0434,143.6103
-38.1011,143.0776
-37.5773,142.6615
-37.5851,142.6281
-36.8864,142.1353
-36.0567,143.5115
-36.0628,143.5224
-38.0102,143.6549
-37.6344,144.23
-37.942,143.2295
-37.9308,143.2407
-37.7717,142.8748
-37.6251,144.2282
-37.8426,142.6104
-37.7635,142.8596
-37.7619,142.873
-37.7733,142.8614
-37.9578,142.7555
-37.9405,143.2425
-37.9129,142.1534
-37.7714,143.2116
-37.8449,143.1912
-36.7394,146.3061
-36.3623,144.8952
-36.7377,146.3173
-36.7581,146.3685
-37.5012,143.4489
-37.5027,143.4363
-36.8035,142.7357
-36.6097,143.9171
-36.7707,141.8752
-37.5026,142.9146
-35.654,142.8536
-36.326,142.7501
-36.35,141.1057
-36.6775,141.2459
-37.6292,142.6159
-37.62,143.2159
-37.6215,143.203
-36.8987,143.0562
-36.674,141.7589
-36.6724,141.7731
-36.6808,141.7654
-37.5919,142.6784
-37.6017,142.6803
-36.6836,144.0598
-37.2223,143.7932
-36.6802,142.4033
-36.3619,143.9343
-37.9046,143.5652
-37.8121,143.1846
-37.8731,143.3968
-37.9075,143.5479
-37.8116,143.1922
-37.9099,143.5406
-37.9142,142.5719
-37.8634,143.3889
-37.9698,143.3882
-37.9172,142.5806
-37.8889,143.5571
-37.2857,143.4598
-37.3018,141.297
-37.2874,141.312
-36.9999,146.7149
-36.7567,146.3834
-36.7582,146.3715
-36.7487,146.3694
-38.0457,143.1008
-36.7408,146.3549
-36.7162,146.4765
-36.36,146.7804
-37.2898,143.4538
-38.1428,141.2838
-38.1338,141.2817
-36.4462,145.6783
-36.8628,147.5289
-36.8602,147.5245
-36.372,145.7771
-36.6749,145.368
-36.4461,145.6855
-36.9082,146.6304
-37.3925,145.8845
-37.3881,145.9052
-37.3802,145.8805
-37.4465,145.8802
-37.4414,145.904
-36.107,145.7724
-36.516,146.1696
-37.1448,146.3454
-36.6729,145.36
-36.3845,145.7813
