latout,lonout
-37.086,143.6566
-37.7177,143.3041
-37.1284,143.7203
-37.1289,143.7143
-37.1322,143.7311
-37.1347,143.7199
-37.6604,143.5672
-37.1363,143.7086
-37.5816,143.5441
-36.8009,143.8721
-36.6967,144.2122
-36.7903,143.8813
-36.6951,144.2234
-36.8083,143.8853
-36.7993,143.8833
-36.7919,143.8701
-36.6861,144.2213
-36.8099,143.8741
-38.0469,143.9018
-34.4561,142.1578
-34.4571,142.1641
-34.4556,142.1511
-34.4668,142.1536
-34.4542,142.1545
-34.4602,142.1601
-34.4537,142.1582
-34.4593,142.1516
-36.5873,143.8623
-37.4622,143.9213
-37.9468,146.788
-36.8515,143.7418
-36.7946,144.3327
-36.7929,144.3215
