latout,lonout
-37.2371,148.8422
-37.2332,148.8233
-37.2217,148.8266
-37.2257,148.8459
-36.4449,145.6421
-36.65,145.5271
-36.1084,147.4415
-37.8347,142.3133
-36.4512,145.6341
-36.1099,147.4288
-36.6483,145.543
-38.0237,143.5428
-36.1115,147.4159
-37.8387,142.307
-36.4496,145.6497
-37.8367,142.3333
-36.4466,145.6265
-36.6538,145.5347
-37.5964,149.4892
-37.6734,147.2395
-37.6749,147.2261
-37.2268,148.8186
-37.6848,147.2278
-37.5948,149.5008
-37.6039,149.5028
-37.5977,149.5491
-37.2345,148.8323
-37.236,148.8205
-36.1221,147.6488
-37.6833,147.2412
-37.5857,149.4989
-37.6115,149.5163
-37.3531,145.7552
-37.6099,149.5279
-37.5873,149.4873
-37.5888,149.4757
-35.7607,141.2501
-35.7645,141.2859
-35.7447,141.2767
-35.7367,141.2828
-35.7149,141.3017
-35.7129,141.3296
-35.62,141.5624
-35.7664,141.2578
-35.6285,141.5408
-35.7426,141.3047
-35.622,141.5356
-35.7288,141.3032
-35.7586,141.2782
-35.7506,141.2843
-37.6716,147.2276
-37.6776,147.2354
-37.6714,147.2426
-37.2302,148.838
-37.2389,148.8207
-37.2406,148.8362
-37.2286,148.8227
-37.5948,149.4946
-37.6734,147.2339
-37.3484,145.7656
-37.3468,145.7541
-36.6396,145.3178
-37.7398,143.2979
-37.8739,143.5349
-37.7728,142.1451
-36.6405,145.3112
-36.6272,143.9176
-37.8397,142.5326
-37.3299,143.929
-37.2897,142.1223
-37.4502,142.7636
-37.7665,142.1494
-36.6374,143.9205
-36.6326,143.9137
-37.7708,142.1574
-37.8565,143.2811
-37.3144,142.0902
-37.8542,143.2946
-37.8921,141.9783
-36.5556,144.7168
-37.4384,142.7739
-36.3557,147.2026
-37.8559,143.2864
-37.275,142.0928
-37.9348,143.6031
-36.5586,144.7005
-37.3051,142.0878
-36.4234,141.5232
-36.3662,147.2126
-37.2917,142.1099
-36.6371,145.3289
-37.4406,142.761
-36.3541,147.2069
-37.7685,142.1371
-36.3939,143.6264
-36.6299,143.9286
-36.7127,145.3028
-37.8714,143.5488
-38.008,142.375
-37.7375,143.3114
-37.2487,148.8048
-37.2364,148.8228
-38.4053,143.7393
-38.4077,143.7254
-37.2424,148.8323
-35.6243,141.5548
-36.2456,141.4789
-35.5729,141.6301
-35.6432,141.5913
-35.6317,141.5692
-35.6391,141.5836
-35.6223,141.5669
-35.6372,141.5957
-35.6262,141.5428
-35.6297,141.5813
-35.6204,141.579
-35.6184,141.591
-35.5823,141.6324
-36.8113,142.8246
-37.9299,143.0979
-36.8995,147.009
-37.9279,143.1349
-36.2944,146.3706
-36.327,146.0274
-36.8143,142.8568
-37.9264,143.1047
-36.1153,147.4104
-36.3255,146.0204
-36.9113,147.0117
-36.1196,141.7355
-37.7419,146.0484
-37.7545,146.0446
-37.6309,146.4469
-37.6201,146.4514
-37.6184,146.4468
-36.2929,141.7287
-36.2917,141.7325
-36.1127,141.6958
-36.8325,147.0186
-36.1071,147.4014
-38.4969,143.9807
-38.4875,143.979
-37.6383,149.6046
-36.7979,147.0317
-36.5355,147.0642
-37.832,143.0433
-37.7898,141.9083
-37.4269,144.1586
-37.4287,144.147
-37.2237,144.2173
-37.4797,144.1655
-36.4276,141.7251
-37.4852,144.1908
-37.4888,144.1677
-37.7828,142.9442
-36.8121,143.4752
-37.487,144.1793
-37.4943,144.193
-36.6423,146.888
-36.9976,142.9645
-37.4979,144.17
-37.3051,142.0913
-36.8075,145.3197
-37.3035,142.1027
-37.2182,144.1919
-36.9992,142.9533
-37.7967,143.2229
-36.5888,145.6011
-36.6158,145.5013
-37.5923,142.1315
-36.4326,141.5515
-37.0069,142.9618
-36.4261,141.7364
-37.7984,143.2115
-37.8458,142.8822
-37.0085,142.9506
-37.106,143.0365
-36.1588,142.7196
-37.2255,144.2057
-37.9797,143.0489
-37.4633,143.5545
-37.4779,144.177
-36.417,141.7345
-36.5754,145.3648
-37.465,143.5431
-37.5907,142.143
-36.6,142.6533
-37.9204,143.3292
-36.1482,146.2964
-37.2146,144.2151
-37.7901,143.2157
-36.8054,145.3322
-37.1764,142.9364
-36.3007,143.3709
-36.1775,143.3998
-36.7836,147.0162
-37.5749,143.3642
-37.2073,144.2012
-37.002,143.8569
-36.6401,146.8776
-36.3743,147.2252
-37.9781,143.0603
-36.6502,146.881
-37.2164,144.2034
-37.5928,148.2912
-37.7882,141.9199
-36.1134,146.3746
-36.1109,146.3887
-36.2701,141.7324
-36.5659,145.3623
-37.9225,143.6189
-37.5943,148.2986
-36.5616,145.3875
-36.6901,145.4148
-36.569,145.4026
-36.5712,145.39
-36.5595,145.4001
-38.4954,143.9861
-38.5277,143.7069
-38.4525,143.6593
-38.4542,143.6478
-38.4559,143.6363
-38.4435,143.6571
-38.4452,143.6456
-38.4469,143.6341
-38.4486,143.6227
-38.3727,143.8188
-38.1004,143.6623
-38.1021,143.6508
-37.7161,145.922
-37.6931,145.8221
-37.7088,145.9064
-37.7065,145.9198
-37.6953,145.8092
-37.7205,146.2667
-37.6365,149.5856
-37.7042,145.8103
-37.69,145.8199
-37.6992,145.8182
-37.6807,145.8217
-37.6976,145.8063
-37.7096,146.2565
-36.8977,145.8766
-37.953,146.1255
-36.1942,146.1801
-36.1962,146.1456
-37.639,149.5833
-37.6356,149.6061
-37.6317,149.5698
-37.6407,149.5719
-36.441,147.1469
-36.4248,147.149
-36.5403,145.4358
-36.151,146.274
-36.651,146.8732
-36.9118,145.8667
-36.5966,145.032
-36.1428,147.491
-36.1443,147.4796
-36.8139,145.8757
-36.7999,145.4543
-36.8032,145.4471
-37.964,143.4142
-36.9305,142.1037
-36.652,144.6935
-36.8467,142.9141
-37.757,143.406
-36.751,145.818
-36.9341,142.0994
-37.961,143.4304
-36.8496,142.8984
-36.7526,145.8132
-37.7601,143.3899
-36.656,144.6738
-37.4104,145.6688
-36.6735,144.8339
-36.1291,143.573
-37.734,143.3754
-37.8263,142.8912
-37.9292,143.547
-37.7251,143.396
-36.9422,142.857
-36.9081,142.7342
-37.906,143.5653
-37.9001,143.5715
-36.6724,143.8759
-36.7809,142.862
-36.6744,143.851
-37.902,143.5441
-37.8233,142.8859
-37.9748,141.8894
-36.4211,141.2203
-36.419,141.2569
-36.5509,143.1961
-37.7321,143.4035
-36.4171,141.2273
-36.1214,146.1375
-37.8573,143.074
-37.8532,143.0685
-37.7388,143.3973
-37.9732,141.896
-36.7768,142.857
-36.5715,144.0058
-37.4107,145.6703
-38.1222,143.8568
-38.1241,143.8302
-38.1275,143.8527
-38.1295,143.8261
-37.2802,145.6399
-37.2744,145.644
