latout,lonout
-37.129,141.2045
-37.1605,141.1605
-37.1626,141.1533
-37.1453,141.1459
-37.1314,141.1973
-37.1487,141.2046
-37.1433,141.1532
-37.8202,143.0757
-37.8183,143.0876
-37.0757,142.3081
-37.0742,142.3201
-37.0835,142.3222
-37.0851,142.31
-35.8978,145.1191
-37.6394,142.4361
-37.6484,142.4383
-36.9304,144.9805
-36.9282,144.9873
-38.4199,147.0983
-37.7393,146.2108
-37.2035,149.0256
-37.202,149.0373
-37.1928,149.0353
-37.1913,149.047
-37.2004,149.049
-37.3762,144.0441
-38.2232,147.1648
-37.1605,148.8362
-37.1711,143.0092
-37.1787,142.9953
-37.1896,143.0054
-37.1803,143.0073
-37.188,142.9935
-37.1972,142.9915
-37.1695,142.9973
