latout,lonout
-36.9148,143.0408
-36.7182,142.4507
-36.7204,142.438
-36.7674,141.9808
-36.8246,141.4122
-36.693,141.0753
-36.6948,141.0636
-36.6838,141.073
-36.6856,141.0614
-38.0701,143.9396
-38.072,143.9069
-38.069,143.9319
-38.0711,143.8992
-37.8486,143.9096
-37.8454,143.9348
-37.8475,143.9023
-36.7006,142.5933
-36.8547,141.957
-36.8708,141.9549
-36.8393,142.5753
-36.8295,142.5735
-38.2042,144.0115
-37.8663,142.4421
-37.5009,142.4248
-36.468,143.3161
-37.679,142.1316
-37.6832,142.111
-37.6867,142.1176
-37.6479,147.8562
-37.6776,148.0353
-37.6792,148.0237
-37.657,147.8581
-37.6586,147.8465
-37.6838,147.989
-37.6701,148.0217
-37.6867,148.0372
-37.6929,147.9909
-37.6768,147.998
-37.6869,147.9877
-37.6904,148.0302
-37.695,147.9955
-37.6856,147.998
-37.6877,148.0104
-37.6898,148.0228
-37.6763,148.0006
-37.6826,148.0378
-37.6821,148.0245
-37.7149,148.1188
-37.7139,147.983
-37.6745,148.0012
-37.6889,147.9797
-37.6727,148.0237
-37.7014,147.9812
-37.7034,147.9583
-37.6851,148.0251
-37.7044,147.9639
-37.7169,147.9657
-37.7026,147.9868
-37.7169,148.1244
-37.3786,143.6523
-36.6725,141.5667
-36.0135,141.7136
-36.6073,141.0029
-36.4227,141.6938
-36.3799,141.0483
-36.421,141.705
-36.3815,141.0372
-36.236,141.5225
-36.0152,141.7024
-35.2854,142.3698
-35.7628,142.1453
-37.6199,142.1499
-36.1969,146.9254
-36.8834,142.7916
-36.2,146.9207
-37.4842,143.7554
-36.7074,141.0313
-36.7105,141.0243
-36.1988,146.9249
-37.4053,144.8667
-37.4027,144.8524
-37.4777,144.8704
-37.475,144.8558
-37.9129,142.5232
-37.785,143.4933
-37.8912,142.6183
-37.7554,143.2961
-37.8432,142.6952
-37.834,142.6933
-37.7569,143.2844
-37.7463,143.2941
-37.7478,143.2825
-37.6888,143.2522
-37.8106,142.3087
-36.815,142.5098
-36.7613,142.6314
-36.7673,141.7904
-36.3647,141.0888
-36.7331,141.0604
-36.539,142.3761
-36.7326,141.0549
-36.4427,141.3718
-36.4485,141.051
-36.2863,141.7425
-36.4096,141.044
-36.45,141.038
-36.3621,141.0962
-38.5417,143.9424
-38.5251,143.9268
-38.5342,143.9288
-38.5433,143.9308
-38.5267,143.9153
-38.1309,143.8497
-38.0927,143.9294
-38.1325,143.8382
-38.0576,143.9808
-38.1197,143.7336
-38.0357,143.8694
-38.0592,143.9693
-38.1693,143.0821
-38.1677,143.094
-37.1908,148.7494
-37.1883,148.7634
-37.1935,148.7348
-36.2024,146.9253
-36.2044,146.9133
-38.034,142.8577
-38.0356,142.8457
-38.0387,142.5984
-38.048,142.6003
-37.9832,142.9574
-38.0299,142.4027
-37.8652,143.4457
-37.9019,143.3819
-37.8636,143.4573
-38.0315,142.3904
-37.9724,142.7035
-37.8812,143.1852
-37.8827,143.1734
-37.9893,142.344
-37.9877,142.3564
-36.8863,146.2642
-37.7997,142.3191
-36.8487,142.668
-37.6797,143.2502
-37.7903,142.3173
-37.8012,142.3068
-37.7919,142.3049
-37.5951,142.7125
-37.5936,142.7243
-37.2865,143.8485
-37.285,143.8599
-36.8472,142.6797
-36.8473,146.2672
-36.8452,146.2796
-36.877,146.2619
-36.8565,146.2697
-37.1903,143.8089
-36.3487,146.7188
-36.9781,142.664
-36.9,142.7561
-36.9015,142.7444
-36.2834,141.4202
-37.6695,148.015
-36.3401,146.7228
-37.9063,145.8507
-37.8958,145.8474
-37.9815,143.3801
-37.6598,146.1116
-37.6582,146.1234
-37.7066,147.9559
-37.6819,147.9971
-37.7083,147.9446
-37.9058,145.8453
-37.7841,146.2882
-37.7856,146.2766
-36.9611,148.5611
-37.985,143.374
-37.6517,146.1155
-37.9831,143.365
-37.7563,144.2314
-37.4536,145.9411
-36.1902,146.9207
-36.2008,146.9116
-36.1992,146.9227
-36.1976,146.9339
-37.6597,146.0551
-38.0115,144.3544
-38.0099,144.3409
-37.7854,146.0332
-37.9356,143.2747
-37.916,143.3711
-37.9395,143.2556
-37.708,147.9523
-37.3295,146.1161
-37.3414,146.1037
-36.8945,147.9646
-37.3102,146.0987
-36.9942,148.5561
-36.901,141.5009
-36.2806,147.827
-37.0608,148.7753
-36.6613,146.5028
-36.664,146.5088
-37.338,146.1269
-36.4446,141.0748
-37.9893,143.4357
-36.6644,146.503
-37.9763,143.5864
-37.991,143.4243
-37.3098,146.117
-37.3719,144.5713
-36.6744,146.5058
-37.5362,142.8817
-37.4369,143.6208
-37.3737,144.5599
-37.5041,142.9144
-37.5134,142.9115
-37.2001,142.5943
-37.2037,142.6998
-36.7032,146.583
-37.2942,146.1281
-37.3034,146.1261
-37.1861,142.596
-37.4823,149.4406
-37.4805,149.4629
-37.493,149.4346
-37.491,149.4569
-37.4785,149.4557
-37.4805,149.4334
-37.1429,148.6808
-38.0994,143.7738
-37.9813,143.9267
-38.0903,143.7617
-37.4789,149.4476
-37.2889,146.1117
-37.6348,143.0405
-37.7668,143.1742
-37.7618,143.1975
-37.7546,142.7981
-37.7493,143.1933
-37.7668,142.8022
-37.7543,143.17
-37.2994,143.8978
-37.7109,142.1118
-37.2993,143.918
-37.4602,142.9187
-37.1033,141.3646
-37.9515,142.8595
-37.9497,142.879
-37.8706,141.8596
-37.9109,142.163
-37.9127,142.1413
-37.783,142.7237
-37.6126,142.6077
-37.5107,142.6086
-37.5807,142.5625
-37.5752,142.5568
-37.5461,142.6135
-37.5125,142.5886
-36.9191,143.2513
-36.9173,143.2694
-36.9303,143.2527
-36.6433,141.7287
-36.343,141.0232
-36.92,143.2633
-36.2219,141.0707
-38.0895,143.0858
-38.1992,143.9783
-37.9735,143.4674
-37.7117,143.294
-37.7087,143.31
-37.9565,142.8566
-37.936,142.8504
-37.6982,143.3068
-37.7654,142.7084
-36.9389,143.2667
-36.9313,143.2472
-36.9282,143.2633
-36.9145,143.2761
-36.9177,143.2595
-36.9688,142.0358
-36.8878,141.3836
-36.8855,141.3969
-36.6815,141.1986
-36.4081,141.176
-36.6837,141.1855
-36.674,141.1829
-36.6859,141.1724
-36.495,141.2049
-36.4407,141.3427
-36.3911,141.6849
-36.4384,141.356
-36.3983,141.1734
-36.3146,141.117
-35.3827,141.0293
-35.3804,141.0425
-35.3902,141.045
-36.9127,143.2631
-36.9043,143.2922
-36.9027,143.2782
-36.9125,143.2763
-36.9179,143.2726
-36.9317,143.2728
-37.2579,144.2731
-37.7528,146.2668
-36.909,143.2905
-36.9247,143.2655
-36.9109,143.2648
-37.2589,144.2854
-37.4582,144.3078
-37.2499,144.2833
-36.9194,143.2717
-36.9316,143.2782
-36.9203,143.2878
-36.9214,143.2727
-36.4108,141.6974
-36.4172,141.7045
-36.9331,143.2594
-36.9316,143.2708
-36.3583,146.6637
-36.8502,142.6462
-36.6946,144.7541
-36.69,144.7488
-37.8829,146.2031
-37.8805,146.2537
-37.8859,146.2079
-37.8839,146.2576
-37.8909,143.3869
-37.7296,142.7252
-37.7235,142.7523
-37.4888,143.5723
-37.4885,143.5676
-37.5104,143.4813
-37.4965,143.476
-37.5096,143.4765
-37.6046,142.6375
-37.5981,142.6429
-36.6601,141.441
-36.0663,145.9399
-36.0643,145.9305
-36.9351,141.9565
-36.6548,141.4648
-36.9407,141.9538
-36.749,141.5302
-36.7437,141.5543
-36.6727,141.4452
-36.746,141.5475
-36.6675,141.469
-36.6633,141.4374
-36.6583,141.4612
-36.2637,141.3036
-37.8863,146.2229
-37.5335,149.1897
-37.8908,146.2227
-37.8097,147.099
-37.8112,147.0876
-37.8816,146.2208
-37.8847,146.1244
-37.877,146.1284
-37.8862,146.1124
-37.2802,147.1958
-36.788,146.4503
-36.3318,147.5209
