latout,lonout
-37.672,142.7192
-37.0807,142.5378
-37.0819,142.531
-38.2563,146.5123
-36.6359,144.7223
-36.3393,144.1502
-37.7741,142.9241
-37.7837,142.1998
-36.0527,146.6429
-37.6486,143.4703
-38.0051,143.4379
-36.945,143.5399
-37.5359,143.0542
-37.7764,142.9109
-37.8445,142.8819
-36.2698,145.839
-36.2813,145.8426
-37.4713,143.073
-35.6613,143.5052
-37.8242,143.0005
-37.9805,143.5764
-36.5966,142.9464
-37.978,143.5903
-37.7963,142.7931
-37.7941,142.8061
-36.6611,141.4109
-37.9603,142.7423
-37.2603,141.612
-37.0815,143.927
-36.9817,142.6256
-37.5129,142.8893
-37.8519,142.8977
-36.443,141.0018
-37.8964,143.3509
-36.57,143.0387
-36.5718,143.0335
-36.4263,145.8332
-37.5382,143.0408
-37.7165,142.6034
-37.5394,143.6849
-37.192,141.4648
-37.8967,142.6923
-37.9025,141.9163
-37.7985,142.7801
-37.8178,143.0964
-37.5151,142.8762
-37.7186,142.5906
-36.4846,145.5176
-37.5262,143.0515
-36.7281,141.3536
-36.0525,146.6374
-37.8837,143.6608
-36.6571,141.4042
-37.7757,143.3974
-36.4888,145.5136
-36.8438,142.65
-37.5422,143.2543
-37.7781,143.3837
-37.1939,141.4529
-37.8988,143.3373
-36.7096,141.349
-36.2852,145.8233
-36.2527,145.6456
-37.5285,143.0381
-37.7868,142.7905
-37.6953,142.6111
-37.3137,143.2061
-37.9581,142.7552
-37.8199,142.1577
-37.786,142.9136
-37.8423,142.895
-37.8541,142.8846
-36.7299,141.3417
-36.2966,145.951
-36.3025,145.9597
-37.6511,143.4564
-37.5644,143.5435
-36.8461,142.637
-36.9473,143.5334
-36.4355,145.821
-36.4775,145.5102
-36.7115,141.3371
-36.599,142.9329
-37.8566,141.5724
-37.8658,141.5748
-37.7021,143.2833
-37.8155,143.1098
-36.9795,142.6387
-37.6608,142.6963
-37.6827,142.9211
-37.6804,142.9343
-37.5217,142.6594
-37.4219,143.5254
-37.3975,142.7819
-37.3997,142.7689
-37.4193,143.5394
-37.6689,142.7663
-37.6564,142.7221
-37.6685,142.9448
-37.6401,142.9925
-37.3648,141.9291
-37.6095,142.7431
-37.6073,142.7561
-37.6191,142.7457
-37.6663,142.958
-37.6498,142.9951
-37.6374,142.6964
-37.6586,142.7092
-37.6352,142.7093
-38.692,143.405
-38.6944,143.3913
-38.1851,144.1688
-38.2573,143.8841
-38.3396,146.4472
-38.3436,146.4278
-38.3335,146.4405
-38.5632,146.2689
-38.5671,146.2652
-37.3128,143.2085
-35.5818,143.5817
-37.6022,147.2715
-38.1647,141.3709
-38.1632,141.3828
-36.7742,141.1532
-36.7758,141.1416
-38.2818,146.6859
-38.2842,146.6996
-37.2755,145.266
-36.737,147.0058
-37.4825,143.5689
-37.484,143.5566
-38.2998,146.6752
-38.2874,146.6959
-38.5619,146.2572
-36.3374,145.6734
-36.2178,145.8583
-36.339,145.6623
-36.2162,145.8695
-37.6845,143.3294
-37.6829,143.3154
-37.5971,148.4694
-37.6075,148.4348
-37.583,148.4282
-37.5751,148.4347
-36.8571,141.626
-36.8531,141.6459
-37.519,148.4392
-36.9268,146.2183
-36.925,146.2238
-38.4804,146.5127
-38.4851,146.5035
-38.2998,145.9729
-38.3018,145.9662
-38.3066,145.9883
-37.2756,145.2534
-38.4822,146.5097
-38.4838,146.4965
-38.6164,143.3573
-38.0418,144.1208
-38.1407,143.9396
-38.321,145.9923
-36.6696,143.8936
-37.4887,148.7691
-37.4961,148.7824
-37.0739,143.8174
-37.775,143.9618
-37.6788,143.3379
-37.4902,148.7578
-37.4993,148.7598
-37.3314,145.5999
-37.0758,143.8229
-37.5826,148.6967
-37.6774,143.343
-36.2173,143.4215
-37.677,143.3559
-36.3464,146.1084
-38.0145,144.0662
-37.872,143.8966
-37.4919,148.7464
-37.581,148.7081
-37.5009,148.7485
-37.8703,143.9134
-37.1784,143.9297
-37.7421,143.5039
-37.6791,143.3249
-37.5842,148.6853
-38.0128,144.0828
-37.9737,147.6927
-38.4019,144.0464
-38.404,144.0337
-38.3925,144.044
-38.3946,144.0312
-37.9738,147.6976
-38.3913,144.0422
-38.6758,143.6936
-36.8103,141.512
