latout,lonout
-37.0942,141.9822
-37.0998,141.957
-38.6183,143.2386
-37.9081,143.4582
-37.9098,143.4359
-37.9057,143.4505
-38.6182,143.2257
-36.8956,142.1471
-37.1611,144.2862
-36.998,143.8688
-37.3528,143.4516
-37.3552,143.438
-37.3158,144.2791
-36.7329,143.2216
-36.7225,143.2276
-36.7249,143.214
-36.7151,143.2113
-37.2271,144.2018
-37.2429,144.1748
-37.2402,144.1898
-36.3746,146.0446
-36.3719,146.0499
-37.7712,145.9543
-37.7885,145.9572
-37.7735,145.9501
-37.7909,145.9521
-37.8599,145.9493
-37.8619,145.9997
-37.8617,145.9416
-37.8634,145.9917
-35.6602,143.4771
-37.2393,144.1852
-37.2414,144.1898
-36.5003,144.3349
-36.4967,144.3297
-36.5405,144.369
-36.4652,142.1505
-37.0758,143.7404
-37.0755,143.7447
-35.6598,143.4815
-35.4971,142.7691
-35.5126,142.7705
-35.5081,142.7744
-37.7684,146.3113
-37.6165,148.5462
-37.7944,145.8261
-37.7925,145.8505
-37.8604,145.9594
-37.7849,145.9459
-37.803,145.8568
-37.8793,145.8854
-37.8772,145.9108
-37.8908,145.8936
-37.7699,146.2855
-37.7681,146.3068
-37.7701,146.2901
-37.6056,148.5444
-36.0739,146.6706
-36.5374,144.7945
-36.5446,144.8022
-35.7833,142.22
-37.849,146.197
-37.8599,146.1462
-37.8472,146.1855
-37.8581,146.1948
-37.8563,146.1833
-37.8617,146.1579
-35.5637,143.4706
-35.5609,143.4556
-37.8494,146.1962
-37.7966,146.1519
-37.4272,145.8422
-37.4293,145.8293
-37.4176,145.8398
-37.4198,145.8268
-37.3985,145.8348
-37.408,145.8373
-37.8717,145.8893
-37.4057,145.8506
-37.7962,146.1461
-37.2044,148.9996
-36.5292,144.3766
-36.1562,147.4211
-36.3001,146.0456
-36.4186,145.8328
-36.233,142.2038
-36.2452,142.2078
-36.2407,142.2296
-36.2469,142.2155
-37.8879,143.5119
-37.4258,145.6838
-34.4465,141.5669
-38.1455,141.5147
-35.8757,143.6204
-37.4782,145.637
-38.1819,141.4544
-38.1679,141.4779
-38.1701,141.4648
-38.1494,141.5278
-38.1724,141.4517
-38.1584,141.4752
-38.1606,141.4621
-38.1628,141.4491
-38.151,141.4595
-37.6779,142.1085
-38.1916,141.6421
-38.1691,141.539
-38.1686,141.5332
-38.1708,141.52
-38.1568,141.5437
-38.159,141.5305
-37.8173,143.8145
-36.8638,141.9254
-36.8613,141.9395
-38.1226,143.8116
-38.1189,143.8228
-38.1193,143.8284
-35.7857,142.0688
-35.783,142.0834
-37.5119,149.048
-37.5134,149.035
-36.0535,146.672
-37.6868,148.942
-37.6616,148.7231
-37.9296,147.2952
-37.7989,145.8638
-37.7719,146.2709
-37.6853,148.9555
-37.4398,148.7135
-37.6632,148.7092
-37.3711,145.5896
-37.4823,145.631
-37.4806,145.6501
-37.8008,145.8441
-37.879,146.1962
-37.7737,146.2528
-37.8797,146.2089
-37.8816,146.1898
-37.7821,146.2599
-36.2327,143.9972
-36.4275,143.0927
-37.6287,149.5217
-37.8817,146.1984
-37.6393,149.5247
-37.6418,146.1844
-37.365,145.5936
-37.6362,149.5366
-37.6335,149.5223
-35.599,143.4785
-36.1284,146.0005
-36.1224,145.9785
-36.1363,145.9799
-36.1305,145.9722
-35.9524,145.1277
-37.3991,145.6854
-37.5375,148.4545
-37.4759,142.902
-36.2216,144.7119
