acq_date,latitude,longitude
2004-03-01,-32.4438,147.2155
2004-03-01,-32.4635,146.911
2004-03-01,-32.4463,147.2219
2004-03-01,-31.225,151.8481
2004-03-01,-31.2265,151.8587
2004-03-01,-31.637,146.2739
2004-03-01,-31.6396,146.2883
2004-03-01,-37.8801,147.4478
2004-03-01,-37.8779,147.4608
2004-03-01,-33.9336,142.9702
2004-03-01,-33.3406,146.2617
2004-03-01,-32.6389,147.2247
2004-03-01,-32.4831,146.9371
2004-03-01,-32.2551,147.2384
2004-03-01,-32.2655,147.2411
2004-03-01,-33.101,147.166
2004-03-01,-32.6492,147.2273
2004-03-01,-33.0261,148.9571
2004-03-01,-32.2629,147.2556
2004-03-01,-32.2525,147.253
2004-03-01,-33.3427,146.249
2004-03-01,-33.6074,146.2014
2004-03-01,-33.5978,146.199
2004-03-01,-31.6421,146.2745
2004-03-01,-31.871,133.2003
2004-03-01,-31.6632,146.7357
2004-03-01,-28.1191,149.0014
2004-03-01,-31.9835,133.7212
2004-03-01,-26.8786,148.642
2004-03-01,-22.8784,134.4309
2004-03-01,-18.746,134.2947
2004-03-01,-18.7266,134.2594
2004-03-01,-18.7071,134.2239
2004-03-01,-18.7191,134.2531
2004-03-01,-18.7022,134.3703
2004-03-01,-18.7187,134.2254
2004-03-01,-18.7168,134.2417
2004-03-01,-18.715,134.2579
2004-03-01,-18.7075,134.2516
2004-03-01,-18.7094,134.2354
2004-03-01,-18.6959,134.2502
2004-03-01,-18.6978,134.2339
2004-03-01,-18.6862,134.2324
2004-03-01,-18.6649,134.2132
2004-03-01,-18.663,134.2294
2004-03-01,-18.6843,134.2486
2004-03-01,-18.5754,134.1947
2004-03-01,-18.5494,134.0073
2004-03-01,-18.5412,134.0181
2004-03-01,-18.5432,134.0014
2004-03-01,-31.2465,116.3167
2004-03-01,-31.2281,116.3133
2004-03-01,-31.2402,116.2929
2004-03-01,-31.2387,116.304
2004-03-01,-31.2373,116.315
2004-03-01,-31.2358,116.326
2004-03-01,-31.2509,116.2836
2004-03-01,-31.2494,116.2946
2004-03-01,-31.248,116.3056
2004-03-01,-31.246,116.3007
2004-03-02,-27.1548,149.4685
2004-03-02,-31.6453,146.2798
2004-03-02,-33.9234,142.9649
2004-03-02,-32.283,147.2448
2004-03-02,-32.2696,147.239
2004-03-02,-27.164,149.4628
2004-03-02,-27.0962,149.8083
2004-03-02,-27.0943,149.7975
