acq_date,latitude,longitude
2005-12-01,-20.4983,147.9107
2005-12-01,-20.5069,147.892
2005-12-01,-27.1102,149.089
2005-12-01,-28.3475,150.9127
2005-12-01,-28.3756,149.4894
2005-12-01,-28.3773,149.5003
2005-12-01,-16.089,132.9841
2005-12-01,-16.0616,133.0125
2005-12-01,-16.0906,132.9962
2005-12-01,-16.0664,133.0491
2005-12-01,-16.1008,132.9948
2005-12-01,-16.0788,132.9855
2005-12-01,-16.0804,132.9976
2005-12-01,-16.1024,133.007
2005-12-01,-16.0584,132.9883
2005-12-01,-16.0686,132.9869
2005-12-01,-16.06,133.0004
2005-12-01,-16.0702,132.999
2005-12-01,-15.8508,129.2724
2005-12-01,-15.5943,132.5539
2005-12-01,-15.5929,132.5426
2005-12-01,-15.5922,132.5487
2005-12-01,-15.5839,132.5613
2005-12-01,-15.5824,132.55
2005-12-01,-15.3653,125.145
2005-12-01,-20.6265,121.3656
2005-12-01,-20.67,121.3789
2005-12-01,-20.6175,121.3737
2005-12-01,-22.3394,127.5894
2005-12-01,-22.3409,127.5991
2005-12-01,-23.7319,119.8259
2005-12-01,-27.4205,125.0499
2005-12-01,-23.7321,119.8588
2005-12-01,-23.7369,119.8506
2005-12-01,-23.7272,119.834
2005-12-01,-42.797,146.9064
2005-12-01,-21.2305,148.1245
2005-12-01,-16.8539,144.0377
2005-12-01,-16.8887,144.6387
2005-12-01,-16.8428,144.0356
2005-12-01,-16.6231,144.71
2005-12-01,-18.0249,145.5195
2005-12-01,-18.2398,145.6333
2005-12-01,-18.2426,145.6175
2005-12-01,-16.8316,144.0335
2005-12-01,-16.8204,144.0315
2005-12-01,-15.4617,143.2689
2005-12-01,-15.1565,143.7824
2005-12-01,-13.9968,143.0706
2005-12-01,-15.6284,141.6671
2005-12-01,-13.9886,143.1061
2005-12-01,-16.0606,132.9767
2005-12-01,-13.9931,143.0777
2005-12-01,-13.9909,143.0917
2005-12-01,-15.4594,143.2829
2005-12-01,-15.6364,141.6798
2005-12-01,-15.6267,141.6782
2005-12-01,-16.4976,137.1588
2005-12-01,-15.1689,143.7756
2005-12-01,-15.1716,143.7603
2005-12-01,-15.1703,143.7691
2005-12-01,-15.159,143.767
2005-12-01,-15.1477,143.765
2005-12-01,-15.9897,143.4877
2005-12-01,-31.8806,121.5564
2005-12-01,-31.1831,122.9078
2005-12-01,-31.186,122.8922
2005-12-01,-31.1812,122.9005
2005-12-01,-33.679,116.227
2005-12-01,-33.6775,116.2389
2005-12-01,-20.5966,121.2571
2005-12-01,-20.6085,121.2597
2005-12-01,-21.3105,118.409
2005-12-01,-21.3124,118.3975
2005-12-01,-22.328,127.5965
2005-12-01,-22.3297,127.5811
2005-12-01,-22.3167,127.5951
2005-12-01,-22.3185,127.5796
2005-12-01,-22.3398,127.6918
2005-12-01,-22.3416,127.6765
2005-12-01,-22.2969,127.6706
2005-12-01,-22.2857,127.6691
2005-12-01,-16.8273,131.0128
2005-12-01,-16.8183,131.0114
2005-12-01,-14.714,125.6756
2005-12-01,-34.4654,150.8841
2005-12-01,-37.012,148.5442
2005-12-01,-14.7048,125.6865
2005-12-01,-14.7093,125.6692
2005-12-01,-14.5741,126.0409
2005-12-01,-17.5446,125.8933
2005-12-01,-21.4485,120.0938
2005-12-01,-21.4341,120.0798
2005-12-01,-21.4509,120.0989
2005-12-01,-21.448,120.0827
2005-12-01,-21.4365,120.0849
2005-12-01,-22.3129,130.8073
2005-12-01,-22.3132,127.5675
2005-12-01,-22.3146,127.5785
2005-12-01,-22.3161,127.5895
2005-12-01,-22.319,127.6115
2005-12-01,-22.3242,127.5771
2005-12-01,-22.3257,127.5881
2005-12-01,-22.2865,127.6615
2005-12-01,-22.288,127.6725
2005-12-01,-22.2938,127.717
2005-12-01,-22.2976,127.6711
2005-12-01,-22.3183,127.6793
2005-12-01,-22.3205,127.6226
2005-12-01,-22.339,127.6876
2005-12-01,-22.3404,127.6987
2005-12-01,-22.3486,127.6862
2005-12-02,-15.9721,143.4839
2005-12-02,-15.9811,143.4825
2005-12-02,-15.9735,143.4932
2005-12-02,-15.4515,143.2633
2005-12-02,-15.4929,144.5538
2005-12-02,-15.3955,144.7104
2005-12-02,-14.8241,142.947
2005-12-02,-15.1374,143.7529
2005-12-02,-15.1388,143.7622
2005-12-02,-15.4742,143.8534
2005-12-02,-15.4756,143.8627
2005-12-02,-15.4824,143.909
2005-12-02,-15.7682,144.1035
2005-12-02,-15.7696,144.1128
2005-12-02,-15.7759,144.0928
2005-12-02,-15.7772,144.1022
2005-12-02,-15.5031,143.9249
2005-12-02,-15.5134,143.9328
2005-12-02,-15.9901,143.4811
2005-12-02,-16.8886,144.6056
2005-12-02,-18.3827,139.2487
2005-12-02,-14.7033,125.6788
2005-12-02,-14.7057,125.6991
2005-12-02,-14.7163,125.6772
2005-12-02,-19.2103,126.1262
2005-12-02,-19.2076,126.1001
2005-12-02,-28.9813,125.4492
2005-12-02,-28.9924,125.4428
2005-12-02,-14.9577,145.0022
2005-12-02,-15.1426,143.7381
2005-12-02,-14.9624,145.0098
2005-12-02,-31.7334,120.8644
2005-12-02,-31.7167,120.8634
2005-12-02,-31.7278,120.8568
2005-12-02,-31.2168,122.8275
2005-12-02,-29.0089,125.4298
2005-12-02,-28.9972,125.4283
2005-12-02,-29.0019,125.4221
2005-12-02,-29.0,125.4402
2005-12-02,-22.3114,130.8163
2005-12-02,-22.3129,130.8063
2005-12-02,-22.3492,127.6965
2005-12-02,-22.2995,127.7104
2005-12-02,-22.2849,127.6758
2005-12-02,-21.4339,120.0708
2005-12-02,-21.4436,120.0768
2005-12-02,-21.4593,120.0787
2005-12-02,-21.4495,120.0726
2005-12-02,-17.4081,125.7999
2005-12-02,-14.7218,125.68
2005-12-02,-14.7204,125.6906
2005-12-02,-14.719,125.701
2005-12-02,-15.3973,129.7681
2005-12-02,-15.4066,129.7696
2005-12-02,-15.4051,129.7796
2005-12-02,-14.7014,125.6876
2005-12-02,-14.7123,125.6786
2005-12-02,-14.7109,125.6891
2005-12-02,-15.5983,130.0159
2005-12-02,-15.2981,129.3277
2005-12-02,-16.3006,131.8665
2005-12-02,-15.7368,132.5275
2005-12-02,-16.3063,131.8732
2005-12-02,-16.3166,131.875
2005-12-02,-14.3527,127.542
2005-12-02,-14.3541,127.5328
2005-12-02,-33.9634,115.136
2005-12-02,-33.98,115.1184
2005-12-02,-33.9801,115.1234
2005-12-02,-33.9679,115.1197
2005-12-02,-34.1007,115.1222
2005-12-02,-34.0963,115.1437
2005-12-02,-33.9678,115.1147
2005-12-02,-21.2165,148.1486
2005-12-02,-31.7475,120.903
2005-12-02,-31.749,120.8902
2005-12-02,-31.7505,120.8775
2005-12-02,-31.7361,120.9141
2005-12-02,-31.7376,120.9014
2005-12-02,-31.7391,120.8887
2005-12-02,-31.7262,120.9125
2005-12-02,-31.7277,120.8998
2005-12-02,-31.7292,120.8871
2005-12-02,-31.7179,120.8983
2005-12-02,-31.7194,120.8855
2005-12-02,-31.9237,121.6289
2005-12-02,-31.9252,121.617
2005-12-02,-31.8956,121.5385
2005-12-02,-31.886,121.5369
2005-12-02,-31.8822,121.5426
2005-12-02,-31.8837,121.5306
2005-12-02,-31.2109,122.8261
2005-12-02,-32.9243,120.4338
2005-12-02,-21.4853,120.1241
2005-12-02,-21.5115,120.1385
2005-12-02,-21.5023,120.1371
2005-12-02,-21.5037,120.127
2005-12-02,-15.9708,141.5986
2005-12-02,-19.5785,147.4693
2005-12-02,-15.9617,141.5999
2005-12-02,-21.7767,119.224
2005-12-02,-21.7786,119.2389
2005-12-02,-21.7785,119.2319
2005-12-02,-30.3386,122.2409
2005-12-02,-30.341,122.2752
2005-12-02,-30.354,122.2394
2005-12-02,-30.3565,122.2738
2005-12-02,-34.311,116.0891
2005-12-03,-15.128,131.7635
2005-12-03,-16.6764,130.8623
2005-12-03,-17.6594,130.9058
2005-12-03,-17.6502,130.9073
2005-12-03,-16.4821,137.1734
2005-12-03,-27.9628,126.9123
2005-12-03,-27.9746,126.9222
2005-12-03,-27.9531,126.9144
2005-12-03,-27.9551,126.9264
2005-12-03,-27.9726,126.9103
2005-12-03,-28.3511,124.0206
2005-12-03,-30.0929,123.4234
2005-12-03,-30.1044,123.4205
2005-12-03,-27.5706,147.9949
2005-12-03,-27.5685,148.0072
2005-12-03,-27.5608,147.9928
2005-12-03,-26.9695,149.447
2005-12-03,-26.9722,149.432
2005-12-03,-26.1886,146.9109
2005-12-03,-26.1904,146.8997
2005-12-03,-28.4818,147.5099
2005-12-03,-26.9617,148.4978
2005-12-03,-24.7549,145.8879
2005-12-03,-26.0444,146.9044
2005-12-03,-24.8121,146.6836
2005-12-03,-24.8139,146.6725
2005-12-03,-24.809,146.6765
2005-12-03,-24.7917,146.6615
2005-12-03,-24.7899,146.4888
2005-12-03,-24.7916,146.4777
2005-12-03,-21.2567,148.3608
2005-12-03,-19.7238,145.3613
2005-12-03,-21.2679,148.3634
2005-12-03,-21.3023,148.1642
2005-12-03,-21.2913,148.1619
2005-12-03,-21.294,148.1462
2005-12-03,-20.4176,147.9417
2005-12-03,-20.4202,147.9267
2005-12-03,-21.2643,147.5829
2005-12-03,-21.2844,147.53
2005-12-03,-21.2738,147.5279
2005-12-03,-21.2714,147.5415
2005-12-03,-21.282,147.5437
2005-12-03,-20.7822,148.429
2005-12-03,-15.6487,143.4516
2005-12-03,-15.6395,143.4501
2005-12-03,-16.852,144.0823
2005-12-03,-19.3554,142.261
2005-12-03,-16.8349,144.0692
2005-12-03,-16.8303,144.0626
2005-12-03,-16.8442,144.0707
2005-12-03,-16.8195,144.0711
2005-12-03,-15.4096,144.6646
2005-12-03,-16.8288,144.0727
2005-12-03,-15.457,144.6161
2005-12-03,-15.3794,144.452
2005-12-03,-16.8457,144.0606
2005-12-03,-15.3891,144.4536
2005-12-03,-16.4808,137.1624
2005-12-03,-16.4817,137.1734
2005-12-03,-16.4836,137.1578
2005-12-03,-16.8504,144.0924
2005-12-03,-15.4377,145.0692
2005-12-03,-16.8473,144.1125
2005-12-03,-16.8489,144.1024
2005-12-03,-16.8784,144.097
2005-12-03,-16.866,144.1157
2005-12-03,-16.8613,144.0838
2005-12-03,-16.8597,144.0939
2005-12-03,-16.8566,144.1141
2005-12-03,-19.3478,142.25
2005-12-03,-16.821,144.061
2005-12-03,-16.8675,144.1056
2005-12-03,-15.6473,143.4613
2005-12-03,-15.6564,143.4629
2005-12-03,-16.4741,137.1406
2005-12-03,-16.4844,137.1309
2005-12-03,-13.8519,143.0891
2005-12-03,-13.8611,143.0905
2005-12-03,-14.576,143.9074
2005-12-03,-15.1737,143.7397
2005-12-03,-15.1752,143.7296
2005-12-03,-14.5949,143.9105
2005-12-03,-15.1888,144.4299
2005-12-03,-14.5965,143.9002
2005-12-03,-14.5871,143.8987
2005-12-03,-15.1791,144.4283
