acq_date,latitude,longitude
2018-05-01,-13.1203,131.852
2018-05-01,-13.8989,133.3759
2018-05-01,-13.7648,131.9387
2018-05-01,-15.6168,134.9827
2018-05-01,-15.6129,134.9901
2018-05-01,-15.6108,134.977
2018-05-01,-15.8546,135.4076
2018-05-01,-15.8649,135.4057
2018-05-01,-16.4272,136.4722
2018-05-01,-16.4255,136.4617
2018-05-01,-16.1834,128.001
2018-05-01,-16.1844,128.0086
2018-05-01,-21.3465,140.8866
2018-05-01,-18.5636,137.3864
2018-05-01,-18.5876,137.3067
2018-05-01,-34.4158,138.796
2018-05-01,-34.5409,138.5691
2018-05-01,-36.3944,145.8699
2018-05-01,-36.3887,145.8324
2018-05-01,-37.3134,143.3516
2018-05-01,-17.2254,123.1632
2018-05-01,-17.2313,123.1682
2018-05-01,-19.5812,121.7523
2018-05-01,-19.6535,122.1736
2018-05-01,-20.6562,122.7491
2018-05-01,-20.6646,122.7413
2018-05-01,-20.6081,122.7534
2018-05-01,-19.6243,121.5778
2018-05-01,-20.6414,121.9714
2018-05-01,-20.6366,121.7642
2018-05-01,-20.6536,121.7864
2018-05-01,-19.6317,121.7976
2018-05-01,-20.6329,121.8823
2018-05-01,-19.6388,121.5764
2018-05-01,-19.5822,121.747
2018-05-01,-19.6289,121.7698
2018-05-01,-20.653,122.7151
2018-05-01,-20.6722,122.7477
2018-05-01,-20.5994,122.7595
2018-05-01,-20.651,121.7573
2018-05-01,-19.6564,122.2036
2018-05-01,-20.669,122.7137
2018-05-01,-19.6555,122.1787
2018-05-01,-20.6616,122.7074
2018-05-01,-20.6515,121.7627
2018-05-01,-22.2064,124.0872
2018-05-01,-22.2053,124.0804
2018-05-01,-22.202,124.0358
2018-05-01,-22.2028,124.0427
2018-05-01,-22.4081,124.1508
2018-05-01,-22.4065,124.1441
2018-05-01,-22.0844,124.3408
2018-05-01,-22.0816,124.3338
2018-05-01,-22.0998,124.3322
2018-05-01,-31.973,116.8477
2018-05-01,-40.9316,144.7981
2018-05-01,-40.944,144.8322
2018-05-01,-40.8378,144.8814
2018-05-01,-40.8358,144.9133
2018-05-01,-42.8323,147.7619
2018-05-01,-42.8346,147.7672
2018-05-01,-42.3446,147.2501
2018-05-01,-40.9438,148.1832
2018-05-01,-41.3052,147.9603
2018-05-01,-41.4279,146.9673
2018-05-01,-40.9456,148.1627
2018-05-01,-41.3112,147.9691
2018-05-01,-37.723,147.5341
2018-05-01,-37.6157,148.8921
2018-05-01,-37.6174,148.876
2018-05-01,-38.0443,143.9672
2018-05-01,-37.9561,141.8478
2018-05-01,-37.3205,143.3514
2018-05-01,-37.3223,143.344
2018-05-01,-37.9615,141.856
2018-05-01,-37.6359,144.033
2018-05-01,-35.3218,147.4366
2018-05-01,-36.7885,143.537
2018-05-01,-36.7887,143.5297
2018-05-01,-36.8651,143.5103
2018-05-01,-36.552,147.135
2018-05-01,-36.8637,143.5151
2018-05-01,-35.5772,146.3309
2018-05-01,-35.5753,146.3518
2018-05-01,-35.5681,146.3347
2018-05-01,-36.2236,146.3563
2018-05-01,-36.1528,146.1203
2018-05-01,-36.1403,146.1187
2018-05-01,-36.0313,141.7728
2018-05-01,-36.1392,146.1135
2018-05-01,-36.3076,145.4893
2018-05-01,-34.9393,145.9699
2018-05-01,-34.8317,145.8859
2018-05-01,-36.2226,145.9086
2018-05-01,-36.222,145.9014
2018-05-01,-34.8193,145.8843
2018-05-01,-34.8212,145.8626
2018-05-01,-35.4636,146.3088
2018-05-01,-35.6487,146.3099
2018-05-01,-35.645,146.3022
2018-05-01,-35.4675,146.3165
2018-05-01,-35.3201,147.4543
2018-05-01,-35.7414,145.4836
2018-05-01,-35.7433,145.4596
2018-05-01,-35.7427,145.4764
2018-05-01,-35.6342,145.6952
2018-05-01,-35.6353,145.6769
2018-05-01,-35.6334,145.7
2018-05-01,-35.6481,145.6785
2018-05-01,-36.2563,146.1183
2018-05-01,-35.6462,145.7016
2018-05-01,-35.7019,145.8008
2018-05-01,-35.6999,145.8236
2018-05-01,-35.7026,145.8082
2018-05-01,-35.7008,145.831
2018-05-01,-36.0086,146.4164
2018-05-01,-35.7236,146.0144
2018-05-01,-36.2706,147.4757
2018-05-01,-35.5719,148.2347
2018-05-01,-34.7992,147.4493
2018-05-01,-35.8887,146.0473
2018-05-01,-35.8169,146.4003
2018-05-01,-35.8868,146.0694
2018-05-01,-36.4652,145.9279
2018-05-01,-36.1283,149.9221
2018-05-01,-34.3566,146.2781
2018-05-01,-34.3122,145.9138
2018-05-01,-33.7921,147.6408
2018-05-01,-34.5687,146.2638
2018-05-01,-34.7559,145.9993
2018-05-01,-34.7666,147.5484
2018-05-01,-34.2999,145.9123
2018-05-01,-34.3267,145.9203
2018-05-01,-34.3226,145.9365
2018-05-01,-34.3245,145.9154
2018-05-01,-34.4469,148.0152
2018-05-01,-34.1456,148.2787
2018-05-01,-34.3055,145.8487
2018-05-01,-34.3036,145.8699
2018-05-01,-34.754,146.0205
2018-05-01,-34.3103,145.9349
2018-05-01,-29.9249,150.9343
2018-05-01,-29.9991,151.4511
2018-05-01,-27.6959,151.0396
2018-05-01,-24.6645,151.4454
2018-05-01,-21.3511,140.8704
2018-05-01,-15.3502,141.84
2018-05-01,-15.3525,141.8207
2018-05-01,-15.3503,141.845
2018-05-01,-15.3525,141.8256
2018-05-01,-34.1255,135.6525
2018-05-01,-34.1381,135.6562
2018-05-01,-33.3384,118.2331
2018-05-01,-32.3701,117.5405
2018-05-01,-32.296,117.9664
2018-05-01,-32.2976,117.9621
2018-05-01,-32.7346,119.7177
2018-05-01,-32.4367,116.4622
2018-05-01,-32.4533,116.4636
2018-05-01,-32.9589,119.1504
2018-05-01,-24.9556,128.2083
2018-05-01,-24.9574,128.1969
2018-05-01,-24.7043,129.5947
2018-05-01,-24.5848,129.3375
2018-05-01,-24.587,129.3244
2018-05-01,-24.702,129.6082
2018-05-01,-24.579,129.3093
2018-05-01,-24.7066,129.5812
2018-05-01,-24.6939,129.5925
2018-05-01,-24.5768,129.3223
2018-05-01,-24.6221,129.3045
2018-05-01,-24.5732,129.2812
2018-05-01,-22.1876,123.9873
2018-05-01,-23.5191,123.7815
2018-05-01,-22.1273,124.0885
2018-05-01,-22.2054,124.0608
2018-05-01,-22.1104,124.0793
2018-05-01,-21.6269,124.3158
2018-05-01,-21.7731,123.9267
2018-05-01,-21.9311,123.8466
2018-05-01,-21.9128,123.8437
2018-05-01,-21.5895,124.1948
2018-05-01,-21.5909,124.1851
2018-05-01,-21.5986,124.1963
2018-05-01,-21.6464,124.3091
2018-05-01,-21.6373,124.3076
2018-05-01,-21.5999,124.1866
2018-05-01,-21.6283,124.3061
2018-05-01,-22.1033,124.8467
2018-05-01,-21.6431,124.7235
2018-05-01,-21.8783,125.1328
2018-05-01,-21.8797,125.1231
2018-05-01,-21.8696,125.1356
2018-05-01,-21.8308,125.1488
2018-05-01,-22.6476,124.5107
2018-05-01,-22.6087,124.5243
2018-05-01,-22.6101,124.5145
2018-05-01,-22.5978,124.5358
2018-05-01,-22.5888,124.5343
