acq_date,latitude,longitude
2007-10-01,-13.623,142.3777
2007-10-01,-12.5288,135.4335
2007-10-01,-13.6255,142.3853
2007-10-01,-11.8599,142.0038
2007-10-01,-12.5119,136.2324
2007-10-01,-12.8096,135.0666
2007-10-01,-12.757,134.9934
2007-10-01,-13.7154,142.3016
2007-10-01,-13.7187,142.3097
2007-10-01,-12.4598,135.3772
2007-10-01,-12.45,135.3787
2007-10-01,-12.7962,142.0782
2007-10-01,-12.519,135.4351
2007-10-01,-12.5173,135.4242
2007-10-01,-12.5321,135.4553
2007-10-01,-12.7552,134.982
2007-10-01,-13.6202,142.3428
2007-10-01,-13.6397,142.4189
2007-10-01,-13.7155,142.1964
2007-10-01,-12.5338,135.4662
2007-10-01,-13.6192,142.3494
2007-10-01,-12.4518,135.3896
2007-10-01,-12.7855,142.0796
2007-10-01,-12.7838,142.0663
2007-10-01,-13.6291,142.4138
2007-10-01,-12.5946,135.583
2007-10-01,-12.7678,133.6633
2007-10-01,-12.3836,141.8071
2007-10-01,-12.3853,141.8195
2007-10-01,-12.7569,133.6653
2007-10-01,-12.4616,135.3881
2007-10-01,-12.7825,135.0246
2007-10-01,-12.5853,136.296
2007-10-01,-13.8852,135.0001
2007-10-01,-14.0066,134.8009
2007-10-01,-14.0898,133.4294
2007-10-01,-15.9975,136.1817
2007-10-01,-14.222,133.1172
2007-10-01,-13.9702,135.222
2007-10-01,-13.9975,134.6785
2007-10-01,-13.887,135.0111
2007-10-01,-13.9174,134.9492
2007-10-01,-13.8887,135.0221
2007-10-01,-14.001,134.8945
2007-10-01,-14.1184,133.4671
2007-10-01,-14.0267,135.3713
2007-10-01,-13.8682,134.9571
2007-10-01,-13.8584,134.9587
2007-10-01,-14.0891,133.3577
2007-10-01,-16.7334,134.7459
2007-10-01,-16.7378,134.712
2007-10-01,-16.7395,134.7228
2007-10-01,-16.7412,134.7336
2007-10-01,-16.7429,134.7443
2007-10-01,-16.7871,134.7522
2007-10-01,-16.7967,134.7506
2007-10-01,-16.7984,134.7613
2007-10-01,-16.5842,134.9688
2007-10-01,-16.5937,134.9672
2007-10-01,-16.5953,134.9777
2007-10-01,-16.597,134.9882
2007-10-01,-16.4338,134.7265
2007-10-01,-16.4355,134.7374
2007-10-01,-16.4373,134.7483
2007-10-01,-16.4434,134.7249
2007-10-01,-16.4452,134.7357
2007-10-01,-16.4469,134.7466
2007-10-01,-16.4548,134.7341
2007-10-01,-16.4565,134.7449
2007-10-01,-16.7796,136.2315
2007-10-01,-16.7886,136.23
2007-10-01,-16.6653,134.7745
2007-10-01,-16.667,134.7852
2007-10-01,-16.6749,134.7728
2007-10-01,-16.6799,134.8049
2007-10-01,-16.6827,134.7984
2007-10-01,-16.6844,134.8091
2007-10-01,-16.7131,134.8043
2007-10-01,-16.7149,134.815
2007-10-01,-16.7368,134.7674
2007-10-01,-16.794,134.7949
2007-10-01,-16.5195,135.0822
2007-10-01,-16.5273,135.0703
2007-10-01,-16.5289,135.0807
2007-10-01,-16.5306,135.0911
2007-10-01,-16.5661,135.1004
2007-10-01,-16.6732,135.2555
2007-10-01,-16.6748,135.2657
2007-10-01,-16.6765,135.2759
2007-10-01,-16.6781,135.2861
2007-10-01,-16.681,135.2438
2007-10-01,-16.6826,135.254
2007-10-01,-16.6842,135.2642
2007-10-01,-16.6858,135.2744
2007-10-01,-16.6874,135.2845
2007-10-01,-16.689,135.2947
2007-10-01,-16.7016,135.3136
2007-10-01,-16.7032,135.3237
2007-10-01,-16.7048,135.3338
2007-10-01,-16.7064,135.344
2007-10-01,-16.7141,135.3323
2007-10-01,-16.7189,135.3626
2007-10-01,-16.7205,135.3727
2007-10-01,-16.7312,135.319
2007-10-01,-16.7389,136.2087
2007-10-01,-16.7105,136.1999
2007-10-01,-16.6563,135.244
2007-10-01,-16.6578,135.2542
2007-10-01,-16.6594,135.2644
2007-10-01,-16.661,135.2746
2007-10-01,-16.6606,135.2366
2007-10-01,-16.6622,135.2468
2007-10-01,-16.6639,135.257
2007-10-01,-16.6655,135.2672
2007-10-01,-16.6684,135.2248
2007-10-01,-16.67,135.2351
2007-10-01,-16.6716,135.2453
2007-10-01,-14.3662,132.4776
2007-10-01,-14.3706,132.4837
2007-10-01,-16.4399,135.0377
2007-10-01,-16.4432,135.0307
2007-10-01,-16.3605,134.8448
2007-10-01,-16.3718,134.854
2007-10-01,-14.3778,132.4755
2007-10-01,-16.794,138.1399
2007-10-01,-16.7954,138.1494
2007-10-01,-16.4567,134.1057
2007-10-01,-16.7872,138.0922
2007-10-01,-16.7963,138.0909
2007-10-01,-16.8053,138.0895
2007-10-01,-16.8142,138.0919
2007-10-01,-16.8156,138.1014
2007-10-01,-16.8855,138.0714
2007-10-01,-16.8932,138.0606
2007-10-01,-16.8946,138.0701
2007-10-01,-16.902,138.0625
2007-10-01,-16.8599,138.3495
2007-10-01,-16.8796,138.3564
2007-10-01,-16.881,138.3661
2007-10-01,-16.8846,138.3261
2007-10-01,-16.886,138.3358
2007-10-01,-16.8874,138.3454
2007-10-01,-16.8887,138.3551
2007-10-01,-16.8901,138.3647
2007-10-01,-16.8915,138.3744
2007-10-01,-16.8965,138.3441
