acq_date,latitude,longitude
2019-04-01,-27.9834,151.4223
2019-04-01,-27.985,151.4368
2019-04-01,-27.9957,151.4352
2019-04-01,-31.0141,145.4059
2019-04-01,-31.9644,147.5842
2019-04-01,-31.9659,147.5953
2019-04-01,-34.1882,146.213
2019-04-01,-14.9067,128.5306
2019-04-01,-14.9082,128.5421
2019-04-01,-15.525,131.2377
2019-04-01,-15.5273,131.2561
2019-04-01,-15.5302,131.2499
2019-04-01,-15.4058,127.1148
2019-04-01,-15.4118,126.3125
2019-04-01,-15.3896,126.0975
2019-04-01,-15.4778,126.1323
2019-04-01,-15.4867,126.1342
2019-04-01,-15.7424,127.2379
2019-04-01,-15.7452,127.2585
2019-04-01,-15.7466,127.2688
2019-04-01,-15.7504,127.2264
2019-04-01,-15.7546,127.2572
2019-04-01,-15.756,127.2674
2019-04-01,-15.7574,127.2777
2019-04-01,-15.7617,127.3088
2019-04-01,-15.5693,125.8763
2019-04-01,-15.5723,125.082
2019-04-01,-15.8738,127.1089
2019-04-01,-15.8968,127.1367
2019-04-01,-15.5916,124.4716
2019-04-01,-15.7362,124.6379
2019-04-01,-15.7452,124.6365
2019-04-01,-15.9706,125.9154
2019-04-01,-15.972,125.9248
2019-04-01,-16.0407,125.956
2019-04-01,-16.0497,125.9546
2019-04-01,-16.0511,125.9641
2019-04-01,-16.008,125.5401
2019-04-01,-16.2035,125.555
2019-04-01,-16.3561,126.299
2019-04-01,-16.3626,126.2783
2019-04-01,-16.3398,125.7962
2019-04-01,-16.3733,125.775
2019-04-01,-16.5299,125.2704
2019-04-01,-16.5444,125.3063
2019-04-01,-16.5457,125.3156
2019-04-01,-16.5625,125.2404
2019-04-01,-16.5638,125.2497
2019-04-01,-16.5715,125.239
2019-04-01,-16.6085,125.3667
2019-04-01,-16.6099,125.3761
2019-04-01,-16.6252,125.3547
2019-04-01,-16.6405,125.1457
2019-04-01,-16.6509,125.1536
2019-04-01,-16.7469,125.5591
2019-04-01,-16.7559,125.5577
2019-04-01,-16.7767,125.5737
2019-04-01,-16.8082,125.6015
2019-04-01,-16.8285,125.5503
2019-04-01,-16.8298,125.5597
2019-04-01,-16.8312,125.5691
2019-04-01,-16.8693,125.8334
2019-04-01,-17.4372,126.5324
2019-04-01,-17.4465,126.5311
2019-04-01,-17.5109,126.2021
2019-04-01,-17.5172,126.1948
